expiry,T,F,a,b,rho,m,sigma,rmse
2026-01-29,0.00013298519530060884,691.8099990954327,1.537488066789276e-07,0.0033851068690346534,-0.8604157621680725,-0.009838042364552314,0.007564441719073104,2.2253919322302632e-06
2026-01-30,0.0028727112226978693,692.0700071993784,1.5077254072984499e-05,0.0030308132167779396,-0.8969443246902894,-0.0005213422021499646,0.018974760270555377,4.769694470760154e-06
2026-02-02,0.011091889304889649,692.1200476600668,3.3546216649817613e-05,0.0033516672923957045,-0.8635804257784726,0.013669495881244928,0.016809017789256683,4.193157578124776e-06
2026-02-03,0.01383161533228691,692.2701337289709,5.4404423848329585e-05,0.006587477626893266,-0.1133360651781743,0.017806214566370306,0.008275276271051537,3.7465296776722172e-06
2026-02-04,0.01657134135968417,692.2551513239412,5.5351577892676453e-05,0.008423342891422778,-3.8054899378952214e-08,0.023583065359767008,0.009939693488619101,4.2645718829251015e-06
2026-02-05,0.01931106738708143,692.4002766285729,0.00016691481106708274,0.004916249262966365,-0.9839039925967938,0.017260040272557432,0.005799395363853813,5.419146676600754e-06
2026-02-06,0.02205079341447869,692.5146169833157,8.821594016425857e-05,0.010828065295503203,-0.06619071030674047,0.026740295647426245,0.011899419900663939,6.1779238641466484e-06
2026-02-13,0.04122887560625951,693.1151698626584,0.0001301829634760596,0.014742664683877797,-0.2977699915592871,0.028434896131974686,0.01999365927236089,7.081786199067974e-06
2026-02-20,0.06040695779804033,693.5991340504528,9.532894668155652e-21,0.020160120653575545,-0.278388143636718,0.03308337120067529,0.030212526676575223,1.313955725678908e-05
2026-02-27,0.07958503998982117,694.1153281120966,0.0001572816732762673,0.022756919413471147,-0.3760091263873316,0.03388823794023608,0.03335466410790099,1.4294032223112247e-05
2026-03-06,0.09876312218160198,694.6487603373635,0.00017091552858458937,0.026806486636930575,-0.3363021429385315,0.038696338233093125,0.03689656903864015,1.242042533486432e-05
2026-03-20,0.13711928656516362,695.0452214361576,1.6519160740415924e-14,0.03473338862659489,-0.41125591303334985,0.041269457481065044,0.05218340134896614,5.0642049671227107e-05
2026-03-31,0.1672562728665335,694.8943694143087,8.54404979874531e-20,0.038575934634493755,-0.4947812232346234,0.0381573483636214,0.05977608617959992,7.38064002182759e-05
2026-04-17,0.21383161533228692,695.7984631158145,1.584001288728479e-21,0.044093418772062555,-0.5462641637270116,0.040611693451962395,0.07371489957816293,6.0760522881773206e-05
2026-04-30,0.2494480536884513,696.515694289189,3.16528106018929e-18,0.047708025625195195,-0.5746290605046708,0.04214177320401796,0.08448876284347014,6.849203647750935e-05
2026-05-15,0.2905439440994102,697.6817063414463,4.5950778672798344e-21,0.05244108652441152,-0.556535325542068,0.050818842143607976,0.08986305437879653,9.04554474933072e-05
2026-05-29,0.3289001084829718,698.7706083156489,6.3906305321940655e-21,0.05712449402989748,-0.5453068551410903,0.05377521443249771,0.0947666325016304,9.092690107700137e-05
2026-06-18,0.383694629030917,699.7516109260754,1.1622937565643309e-14,0.0638093787906174,-0.5391818108352465,0.0595340036051183,0.10188983071070164,0.00015749949684643096
2026-06-30,0.41657134135968416,699.6802662179205,2.6897911522180427e-12,0.06628367828574772,-0.5579694313142245,0.06039133400070455,0.10704541077294152,0.00012900643710075623
2026-09-18,0.635749423551465,704.416868571954,7.458283919251725e-18,0.08722749789996623,-0.4799652915938829,0.0945750371870839,0.12719372192773873,0.0002801048348007655
2026-09-30,0.6686261358802321,704.4110586136993,0.004498664979774414,0.0760901779223174,-0.6382432290498741,0.08647824540053728,0.09981813975467771,0.0005485194548457694
2026-12-18,0.8850644920446157,239.0967827341429,1.694826470053312e-29,0.40562609432851743,-5.916814198310503e-14,-0.04877118616081169,0.0010000000000000002,0.0907872670815415
2026-12-31,0.92068093040078,708.8165584150939,0.01190204446351758,0.07452421424019201,-0.79637202376364,0.10520960885886872,0.07540503563252374,0.00012311179392906935
2027-01-15,0.961776820811739,709.4617451600906,2.329766096619588e-16,0.11874743638035254,-0.2848458278318761,0.14831894966022782,0.1396709812150599,0.0006733693250639283
2027-03-19,1.1343795605377665,712.9949651861901,0.0028422319569033692,0.12941010747489806,-0.21721578778872427,0.17218439061863194,0.1309516891032279,0.000585862387209815
2027-06-17,1.38095490300352,717.498788197409,6.858463625699669e-14,0.15367506760518587,-0.14016043982324852,0.21178893905105195,0.15471935868550263,0.0010865482649506661
2027-12-17,1.8823247660172184,726.8303543431068,0.011029693372183399,0.16612857746674506,-0.16883902928026778,0.24956396933244365,0.13247847549288824,0.0014700706684949796
2028-01-21,1.9782151769761227,727.3360443402083,0.03299225263262335,0.10116753508908607,-0.7815803822690636,0.19337959024678456,0.06432234243848355,0.0016821320584182815
2028-06-16,2.38095490300352,734.9890961603297,0.048054492126940976,0.09555548567569556,-0.998999999840024,0.20204912558001184,0.027378947605061855,0.0022018679940530995
2028-12-15,2.8795850399898213,744.3722150568863,0.05852173522965946,0.10457953882633977,-0.9989996951152671,0.2482189123360739,0.0010000000000000002,0.0028274673496631888
