expiry,T,F,a,b,rho,m,sigma,rmse
2026-01-30,0.0030658626695839676,6939.399934141715,3.794714142840449e-08,0.004339733254504341,-0.9892921644137919,-0.011977958180463827,0.028034397491175388,2.338792687359729e-06
2026-02-02,0.011285040751775749,6940.600242450867,1.8796903170704818e-05,0.0035272142954112136,-0.8893982414765391,0.015566395113237182,0.019725348497612056,4.969871069220431e-06
2026-02-03,0.014024766779173008,6940.650326436963,2.0867019866095065e-05,0.004259055243427287,-0.8861278157013175,0.018630485480558314,0.020830974784645375,3.903507883302562e-06
2026-02-04,0.016764492806570268,6942.301380796079,0.0001266968826015862,0.004608696210882362,-0.9134154064607375,0.01545757302517595,0.006318496580346463,3.695160667498969e-06
2026-02-05,0.01950421883396753,6942.501746227518,0.0001673116481037161,0.005138399651972221,-0.9455408359297627,0.017392072909702367,0.006579694375585783,3.764701870506055e-06
2026-02-06,0.02224394486136479,6944.799840670926,5.863484367140029e-05,0.011818526722396226,-0.041187353803348946,0.027540800101267856,0.01386644598762298,7.898565005354177e-06
2026-02-09,0.030463122943556572,6944.655073918986,0.00010767102880526455,0.00816791872697877,-0.7805587986559795,0.02265747218804619,0.021763957012314733,6.983756199171459e-06
2026-02-10,0.03320284897095383,6946.495837248102,0.00022106518799060838,0.00922782093968808,-0.6514634931915573,0.020755718844023562,0.011306803006232321,7.140095898184577e-06
2026-02-11,0.03594257499835109,6946.695751053679,0.0002577681219177093,0.009724168082229574,-0.7015801798987827,0.021010925518992734,0.012651973470520468,7.006011543007088e-06
2026-02-12,0.03868230102574835,6947.196119841772,0.00020087115028847324,0.012069219595889316,-0.5288834531683394,0.023476745228904746,0.017200730626505692,6.701450706983026e-06
2026-02-13,0.041422027053145606,6948.998516008398,7.27188376604854e-05,0.015420873459435018,-0.32231039100737835,0.027833842763173695,0.02331146537751404,7.940899866815e-06
2026-02-17,0.05238093116273465,6948.046339908623,4.230193380790058e-19,0.01729974240221443,-0.3048992765889617,0.029233659601720554,0.028363109427238582,7.444371607599404e-06
2026-02-18,0.05512065719013191,6948.897827237846,7.175415280289354e-09,0.01831320608325969,-0.30773202531479843,0.029605578216071432,0.029189773151436057,6.565589818457175e-06
2026-02-19,0.05786038321752917,6949.749481620941,0.00031700119575988565,0.014710436627532648,-0.6511605219026275,0.02302292620849443,0.021202192637299593,8.004458897605606e-06
2026-02-20,0.06060010924492643,6950.952063213501,5.056442608680962e-18,0.019195066839460526,-0.41137915265881514,0.02869640662407323,0.03397539317297492,3.4428956575492777e-05
2026-02-23,0.06881928732711821,6952.857030161428,0.00026931505740137104,0.017690685517393657,-0.5381784306601857,0.026241304548887984,0.025724178790522106,8.075205162223705e-06
2026-02-24,0.07155901335451548,6952.055258350369,0.00014146674580949858,0.019639302039294464,-0.48120147341917013,0.02783132999368549,0.03231759377941733,9.42946534494247e-06
2026-02-25,0.07429873938191274,6953.8602540290885,0.00053586020650484,0.015815967980145982,-0.8045517618695448,0.02258211074845592,0.021425352890358594,8.478356614788825e-06
2026-02-26,0.07703846540931,6954.612703953265,0.00040865659008753274,0.019145589231734435,-0.5819214387927616,0.02730986237997508,0.026518041700421352,1.026659256452059e-05
2026-02-27,0.07977819143670727,6955.551573045838,0.0003011472695788632,0.02130936561437199,-0.4870466390833692,0.030131389753737924,0.030890596095186372,1.0565059993879556e-05
2026-03-02,0.08799736951889904,6954.965618259862,3.1537253470319244e-19,0.02451301392341026,-0.3912698596716788,0.03362240807957171,0.040641112959109736,1.0950712606179535e-05
2026-03-03,0.0907370955462963,6955.9937424997715,0.0004455129198122373,0.02098438738771846,-0.5771192912837687,0.029228083186482786,0.030826843071836772,8.334563225143797e-06
2026-03-06,0.09895627362848808,6959.197160933739,0.000560679562087724,0.022275012145111097,-0.6398931985137353,0.028676347628501055,0.03266164278055972,1.0901651059069025e-05
2026-03-09,0.10717545171067987,6959.737288310038,1.7781590453396745e-19,0.027518528962355612,-0.4924872913914013,0.031455158425082945,0.04836152905917913,3.8170429966637864e-05
2026-03-13,0.1181343558202689,6961.857840401617,2.5465581674956444e-12,0.02977673048852207,-0.5126723414728553,0.03234533763826731,0.05358077540175316,3.817112013652391e-05
2026-03-20,0.13731243801204973,7900.40197110119,4.5481657609917614e-07,0.04676767651875889,-0.6582602637605057,0.20251809057280967,0.0010000007001030509,0.012541808334922242
2026-03-27,0.15649052020383056,6970.152245094288,5.805490813023802e-13,0.03725719026888832,-0.46190884715978053,0.03866721316121335,0.058136136210365535,3.686523642751009e-05
2026-03-31,0.16744942431341958,3398.8682358978135,1.2060199753433575e-29,0.41505218107210606,-8.418261991118614e-18,-0.06251157011731794,0.0010000000000013188,0.17845075182625708
2026-04-17,0.214024766779173,6984.748077152483,6.184014667155623e-19,0.044735937479739855,-0.5071708532341092,0.04250483570827484,0.06899397176047219,5.101814929214727e-05
2026-04-30,0.24964120513533739,6991.614363533965,4.560266569339543e-18,0.04940239535946252,-0.5187613889564594,0.044833984911093555,0.07650671755135957,3.397147963194502e-05
2026-05-15,0.2907370955462963,7000.303138913842,5.781863234774952e-23,0.05357574892099831,-0.569648984506926,0.04492643760420491,0.0878894690853542,5.7539442978630746e-05
2026-05-29,0.32909325992985794,7009.291703598109,2.6135649169384393e-09,0.059132013576914555,-0.5142909893687854,0.052501585875460895,0.08848129727356668,3.410978432704709e-05
2026-06-18,0.38388778047780314,7020.253459989697,6.521419764946043e-06,0.0654774449956463,-0.514328459566071,0.056812415467600824,0.09666190675432126,7.212126513236146e-05
2026-06-30,0.4167644928065703,7024.746241278105,0.001060452517331357,0.06411922590237042,-0.5970958252940515,0.055224347506451575,0.09368793289233653,3.696846749270433e-05
2026-07-17,0.4633398352723237,10400.203346106991,1.3611922362013485e-27,2.747021677292677,-0.9989999990164781,0.038403864604602204,0.0010000000000000002,0.08346644602586284
2026-08-21,0.5592302462312279,10000.35708131835,2.1178695390890343e-18,0.9734585005107714,-0.9903414499832356,0.012592547844152239,0.0010000017908963225,7.30720484801512e-05
2026-09-18,0.635942574998351,1199.0025315250105,0.031982357150437395,1.7704223578332368,-0.29901218449456696,-0.18265421359747755,0.0010917763858016944,1.8493948800858295
2026-09-30,0.6688192873271183,7075.716977014043,0.00734419880676304,0.06655429076115184,-0.9217968442441689,0.06051675808797574,0.08697839048414426,9.115834072845917e-05
2026-10-16,0.7126549037654744,7088.356411503573,0.0079093513694332,0.07072908624854103,-0.8639075014948351,0.06677644124397984,0.08338301704161419,0.00014301638804323387
2026-11-20,0.8085453147243785,7106.07351427431,0.010396187562215305,0.07176130873253811,-0.9388410450450392,0.07145394359602023,0.08093463922722233,0.00013985534566592937
2026-12-18,0.8852576434915018,1795.6645282576014,6.03592328881667e-22,1.1149139406555335,-7.561092530817006e-16,-0.12117667155758188,0.0010000000000000002,1.3339576090804526
2026-12-31,0.9208740818476662,7128.604666622136,0.012960715726965454,0.07275244580490174,-0.9989999992087034,0.07668396976068922,0.07808702034958483,7.493771768174985e-05
2027-01-15,0.961969972258625,7140.632233989163,0.01102228574028477,0.08320191130065369,-0.8213882329816485,0.08738509565962789,0.09566390372011702,0.00015480406782556453
2027-02-19,1.0578603832175293,7160.400392034278,0.014074742564774598,0.08130685663845806,-0.9253251853547079,0.08767288583585092,0.08902840953992915,0.0001993673604036128
